Thời gian,Mã Đơn Hàng,Mã Chi Nhánh,Mã Nhân Viên,Mã Sản Phẩm,Mã Khách Hàng,Số Lượng,Doanh Thu,Lợi Nhuận,Tổng Giá Vốn
2022-07-19,ĐH5704779,TS HN,NV110,P-328,KH-0088,6,1440000,480000,960000
2022-07-19,ĐH7065450,TS HN,NV170,P-232,KH-0599,5,8250000,2750000,5500000
2022-07-19,ĐH8127695,TS HN,NV012,P-796,KH-0340,8,58680000,19560000,39120000
2022-07-19,ĐH2769071,CN DN,NV180,P-094,KH-0693,9,174420000,58140000,116280000
2022-07-19,ĐH5384022,TS HN,NV065,P-270,KH-0734,7,60795000,20265000,40530000
2022-07-19,ĐH8570870,CN DN,NV005,P-038,KH-0728,7,38430000,12810000,25620000
2022-07-19,ĐH6735343,CN DN,NV179,P-437,KH-0562,5,192075000,64025000,128050000
2022-07-19,ĐH1641152,CN HCM,NV089,P-797,KH-0157,6,40950000,13650000,27300000
2022-07-19,ĐH9316404,CN HCM,NV140,P-470,KH-0613,7,238875000,79625000,159250000
2022-07-19,ĐH5384022,TS HN,NV065,P-007,KH-0734,7,60795000,20265000,40530000
2022-07-19,ĐH5359359,TS HN,NV080,P-023,KH-0176,8,72120000,24040000,48080000
2022-07-19,ĐH4957376,TS HN,NV194,P-164,KH-0021,6,32670000,10890000,21780000
2022-07-19,ĐH7625645,TS HN,NV042,P-441,KH-0714,6,24480000,8160000,16320000
2022-07-19,ĐH9817337,TS HN,NV017,P-334,KH-0571,6,24030000,8010000,16020000
2022-07-19,ĐH4615582,CN HCM,NV140,P-751,KH-0321,6,180000,60000,120000
2022-07-19,ĐH6576726,CN HCM,NV219,P-487,KH-0196,7,27090000,9030000,18060000
2022-07-19,ĐH8260784,TS HN,NV004,P-623,KH-0406,7,174090000,58030000,116060000
2022-07-19,ĐH9162843,TS HN,NV073,P-437,KH-0757,6,230490000,76830000,153660000
2022-07-19,ĐH3201513,CN DN,NV015,P-760,KH-0265,6,7830000,2610000,5220000
2022-07-19,ĐH3290740,CN HCM,NV229,P-645,KH-0459,9,50625000,16875000,33750000
2022-07-19,ĐH1950875,TS HN,NV023,P-393,KH-0725,7,134925000,44975000,89950000
2022-07-19,ĐH4398117,TS HN,NV037,P-547,KH-0078,6,1890000,630000,1260000
2022-07-19,ĐH5287768,TS HN,NV054,P-661,KH-0171,7,2310000,770000,1540000
2022-07-19,ĐH7856281,CN DN,NV249,P-390,KH-0572,5,9675000,3225000,6450000
2022-07-19,ĐH7556599,TS HN,NV071,P-242,KH-0566,7,250320000,83440000,166880000
2022-07-19,ĐH7630824,CN DN,NV079,P-730,KH-0071,5,23175000,7725000,15450000
2022-07-19,ĐH7261916,TS HN,NV191,P-596,KH-0346,6,1440000,480000,960000
2022-07-19,ĐH2467980,TS HN,NV143,P-673,KH-0439,7,1680000,560000,1120000
2022-07-19,ĐH7939658,TS HN,NV247,P-319,KH-0167,7,26670000,8890000,17780000
2022-07-20,ĐH6716701,CN DN,NV067,P-531,KH-0315,5,12600000,4200000,8400000
2022-07-20,ĐH4222349,CN DN,NV210,P-152,KH-0486,5,1250475000,416825000,833650000
2022-07-20,ĐH3959924,CN DN,NV182,P-370,KH-0454,6,135180000,45060000,90120000
2022-07-20,ĐH3147323,CN DN,NV092,P-396,KH-0091,6,7290000,2430000,4860000
2022-07-20,ĐH6120036,CN DN,NV076,P-091,KH-0275,6,13050000,4350000,8700000
2022-07-20,ĐH4386239,CN HCM,NV186,P-605,KH-0192,6,12240000,4080000,8160000
2022-07-20,ĐH8107966,CN HCM,NV237,P-110,KH-0465,6,31140000,10380000,20760000
2022-07-20,ĐH8107966,CN HCM,NV237,P-007,KH-0465,6,31140000,10380000,20760000
2022-07-20,ĐH2577866,CN DN,NV061,P-707,KH-0371,6,65340000,21780000,43560000
2022-07-20,ĐH5425138,CN DN,NV097,P-745,KH-0661,6,6660000,2220000,4440000
2022-07-20,ĐH5295361,CN HCM,NV243,P-240,KH-0022,6,150660000,50220000,100440000
2022-07-20,ĐH6165158,CN HCM,NV173,P-727,KH-0327,7,67830000,22610000,45220000
2022-07-20,ĐH5719072,CN HCM,NV114,P-203,KH-0126,7,150150000,50050000,100100000
2022-07-20,ĐH1634834,TS HN,NV203,P-256,KH-0677,6,81450000,27150000,54300000
2022-07-20,ĐH3232098,CN DN,NV107,P-367,KH-0156,5,725400000,241800000,483600000
2022-07-20,ĐH6807392,CN HCM,NV151,P-571,KH-0353,9,182250000,60750000,121500000
2022-07-20,ĐH4265682,TS HN,NV011,P-487,KH-0321,7,27090000,9030000,18060000
2022-07-20,ĐH9850725,TS HN,NV228,P-029,KH-0778,10,53850000,17950000,35900000
2022-07-20,ĐH4564573,CN HCM,NV229,P-092,KH-0471,10,100350000,33450000,66900000
2022-07-20,ĐH5479527,CN DN,NV115,P-446,KH-0497,9,122850000,40950000,81900000
2022-07-20,ĐH7589906,CN DN,NV092,P-793,KH-0244,2,46950000,15650000,31300000
2022-07-20,ĐH8563850,CN HCM,NV155,P-102,KH-0684,9,25380000,8460000,16920000
2022-07-20,ĐH9839562,CN DN,NV215,P-284,KH-0741,7,215775000,71925000,143850000
2022-07-21,ĐH9110667,CN HCM,NV200,P-411,KH-0150,7,99750000,33250000,66500000
2022-07-21,ĐH8216175,TS HN,NV147,P-365,KH-0543,7,81480000,27160000,54320000
2022-07-21,ĐH9780121,CN HCM,NV148,P-705,KH-0211,5,46500000,15500000,31000000
2022-07-21,ĐH3539874,CN HCM,NV097,P-200,KH-0008,7,53655000,17885000,35770000
2022-07-21,ĐH7253301,CN HCM,NV013,P-198,KH-0329,5,28650000,9550000,19100000
2022-07-21,ĐH7997940,CN HCM,NV079,P-734,KH-0396,10,136500000,45500000,91000000
2022-07-21,ĐH3437417,CN HCM,NV183,P-492,KH-0425,9,149715000,49905000,99810000
2022-07-21,ĐH7764539,CN HCM,NV126,P-681,KH-0421,5,8250000,2750000,5500000
2022-07-21,ĐH3867342,CN HCM,NV153,P-106,KH-0362,6,162180000,54060000,108120000
2022-07-21,ĐH2830815,TS HN,NV156,P-146,KH-0456,9,137160000,45720000,91440000
2022-07-21,ĐH5789654,TS HN,NV003,P-643,KH-0407,6,3510000,1170000,2340000
2022-07-21,ĐH2408018,TS HN,NV045,P-498,KH-0614,6,3780000,1260000,2520000
2022-07-21,ĐH2103199,TS HN,NV154,P-426,KH-0172,8,96600000,32200000,64400000
2022-07-21,ĐH7499646,TS HN,NV024,P-200,KH-0500,6,45990000,15330000,30660000
2022-07-21,ĐH2474675,TS HN,NV245,P-595,KH-0643,5,4800000,1600000,3200000
2022-07-21,ĐH5358587,TS HN,NV235,P-677,KH-0679,5,2775000,925000,1850000
2022-07-22,ĐH2094861,TS HN,NV153,P-579,KH-0007,7,840000,280000,560000
2022-07-22,ĐH5505933,CN HCM,NV044,P-561,KH-0258,7,59220000,19740000,39480000
2022-07-22,ĐH4098204,TS HN,NV063,P-084,KH-0170,7,244335000,81445000,162890000
2022-07-22,ĐH8501179,CN DN,NV155,P-181,KH-0552,7,113925000,37975000,75950000
2022-07-22,ĐH4790038,CN HCM,NV211,P-795,KH-0768,5,39375000,13125000,26250000
2022-07-22,ĐH5557557,TS HN,NV247,P-732,KH-0270,7,110670000,36890000,73780000
2022-07-22,ĐH3178737,CN HCM,NV159,P-155,KH-0751,6,1196550000,398850000,797700000
2022-07-22,ĐH6364637,CN DN,NV232,P-134,KH-0142,7,63735000,21245000,42490000
2022-07-22,ĐH4209084,TS HN,NV066,P-319,KH-0115,7,26670000,8890000,17780000
2022-07-22,ĐH9281776,TS HN,NV116,P-788,KH-0653,7,43995000,14665000,29330000
2022-07-22,ĐH9280835,CN HCM,NV115,P-045,KH-0734,8,43800000,14600000,29200000
2022-07-22,ĐH7022248,CN DN,NV123,P-789,KH-0125,7,18270000,6090000,12180000
2022-07-22,ĐH6332878,CN DN,NV152,P-632,KH-0021,4,51030000,17010000,34020000
2022-07-22,ĐH2192858,CN HCM,NV210,P-418,KH-0387,10,14400000,4800000,9600000
2022-07-22,ĐH9879540,CN HCM,NV187,P-085,KH-0449,7,40845000,13615000,27230000
2022-07-22,ĐH1550642,TS HN,NV027,P-520,KH-0209,6,59850000,19950000,39900000
2022-07-22,ĐH4449190,TS HN,NV239,P-151,KH-0680,7,4791150000,1597050000,3194100000
2022-07-22,ĐH9029794,CN HCM,NV059,P-273,KH-0152,5,27900000,9300000,18600000
2022-07-22,ĐH7655690,CN HCM,NV001,P-604,KH-0052,7,19950000,6650000,13300000
2022-07-22,ĐH8017638,CN HCM,NV244,P-797,KH-0337,10,68250000,22750000,45500000
2022-07-22,ĐH6156243,CN HCM,NV239,P-304,KH-0298,7,5775000,1925000,3850000
2022-07-22,ĐH3140196,CN HCM,NV031,P-742,KH-0469,7,4515000,1505000,3010000
2022-07-22,ĐH3326926,CN HCM,NV009,P-385,KH-0117,10,42750000,14250000,28500000
2022-07-22,ĐH9297067,CN DN,NV073,P-272,KH-0043,6,259200000,86400000,172800000
2022-07-22,ĐH6159316,CN HCM,NV221,P-532,KH-0282,5,2925000,975000,1950000
2022-07-22,ĐH3797451,TS HN,NV118,P-731,KH-0430,6,24930000,8310000,16620000
2022-07-22,ĐH9534257,TS HN,NV239,P-639,KH-0065,6,33750000,11250000,22500000
2022-07-23,ĐH1193256,TS HN,NV246,P-595,KH-0573,7,6720000,2240000,4480000
2022-07-23,ĐH5210631,TS HN,NV195,P-769,KH-0488,7,2415000,805000,1610000
2022-07-23,ĐH4271816,CN HCM,NV159,P-409,KH-0338,7,72555000,24185000,48370000
2022-07-23,ĐH9575481,CN HCM,NV143,P-041,KH-0673,5,22200000,7400000,14800000
2022-07-23,ĐH7543547,CN HCM,NV102,P-381,KH-0383,6,11790000,3930000,7860000
2022-07-23,ĐH8779729,CN DN,NV116,P-231,KH-0093,6,810000,270000,540000
2022-07-23,ĐH7888340,CN DN,NV044,P-182,KH-0783,6,25830000,8610000,17220000
2022-07-23,ĐH9764973,CN DN,NV034,P-332,KH-0134,8,11040000,3680000,7360000
2022-07-23,ĐH4546027,TS HN,NV050,P-565,KH-0243,7,2302965000,767655000,1535310000
2022-07-23,ĐH6654292,CN DN,NV033,P-275,KH-0076,7,12600000,4200000,8400000
2022-07-23,ĐH3820538,TS HN,NV076,P-708,KH-0147,7,1050000,350000,700000
2022-07-23,ĐH6339735,TS HN,NV104,P-689,KH-0172,2,41475000,13825000,27650000
2022-07-23,ĐH9983913,CN HCM,NV240,P-067,KH-0446,6,4140000,1380000,2760000
2022-07-23,ĐH3877778,CN HCM,NV153,P-210,KH-0153,6,10170000,3390000,6780000
2022-07-23,ĐH3514444,CN DN,NV124,P-744,KH-0283,9,48195000,16065000,32130000
2022-07-23,ĐH7215528,CN HCM,NV165,P-208,KH-0054,6,24570000,8190000,16380000
2022-07-23,ĐH1869801,CN DN,NV052,P-250,KH-0151,7,324450000,108150000,216300000
2022-07-23,ĐH4546027,TS HN,NV050,P-218,KH-0243,7,3360000,767655000,1535310000
2022-07-23,ĐH6082899,CN DN,NV208,P-047,KH-0597,7,88935000,29645000,59290000
2022-07-23,ĐH6473136,CN HCM,NV118,P-442,KH-0258,9,17145000,5715000,11430000
2022-07-23,ĐH8572359,CN HCM,NV149,P-588,KH-0076,7,1575000,525000,1050000
2022-07-23,ĐH9073525,TS HN,NV147,P-025,KH-0236,10,182250000,60750000,121500000
2022-07-23,ĐH4530191,TS HN,NV026,P-258,KH-0534,7,15015000,5005000,10010000
2022-07-23,ĐH5241321,TS HN,NV155,P-298,KH-0237,7,88095000,29365000,58730000
2022-07-23,ĐH8759369,CN HCM,NV175,P-387,KH-0021,5,65850000,21950000,43900000
2022-07-23,ĐH2583778,CN HCM,NV090,P-268,KH-0419,6,145620000,48540000,97080000
2022-07-23,ĐH2091531,TS HN,NV142,P-412,KH-0375,9,397575000,132525000,265050000
2022-07-23,ĐH7857814,CN HCM,NV047,P-664,KH-0625,6,8640000,2880000,5760000
2022-07-24,ĐH3483196,CN HCM,NV137,P-688,KH-0323,5,2250000,750000,1500000
2022-07-24,ĐH3925597,TS HN,NV018,P-444,KH-0078,10,617700000,205900000,411800000
2022-07-24,ĐH7560435,CN HCM,NV189,P-390,KH-0733,7,13545000,4515000,9030000
2022-07-24,ĐH7516191,CN DN,NV022,P-231,KH-0283,7,945000,315000,630000
2022-07-24,ĐH3981425,CN DN,NV001,P-409,KH-0411,7,72555000,24185000,48370000
2022-07-24,ĐH1526066,CN HCM,NV007,P-281,KH-0786,6,147240000,49080000,98160000
2022-07-24,ĐH8631751,CN DN,NV063,P-112,KH-0158,7,1189545000,396515000,793030000
2022-07-24,ĐH7083381,CN DN,NV138,P-311,KH-0633,9,5535000,1845000,3690000
2022-07-24,ĐH5322433,TS HN,NV078,P-011,KH-0032,9,142965000,47655000,95310000
2022-07-24,ĐH6297818,CN HCM,NV177,P-545,KH-0391,7,81585000,27195000,54390000
2022-07-24,ĐH7939228,TS HN,NV078,P-250,KH-0249,10,463500000,154500000,309000000
2022-07-24,ĐH9130748,TS HN,NV124,P-698,KH-0373,6,596700000,198900000,397800000
2022-07-24,ĐH2352743,CN HCM,NV161,P-280,KH-0626,6,31230000,10410000,20820000
2022-07-24,ĐH9516506,CN HCM,NV101,P-309,KH-0249,7,150045000,50015000,100030000
2022-07-24,ĐH5675837,CN HCM,NV111,P-763,KH-0113,9,12825000,4275000,8550000
2022-07-24,ĐH1279407,CN DN,NV180,P-081,KH-0645,6,7740000,2580000,5160000
2022-07-24,ĐH9284654,TS HN,NV050,P-308,KH-0192,6,1800000,600000,1200000
2022-07-24,ĐH9645526,TS HN,NV157,P-234,KH-0569,8,2020080000,673360000,1346720000
2022-07-24,ĐH1104283,CN DN,NV071,P-159,KH-0525,8,2737800000,912600000,1825200000
2022-07-24,ĐH6822155,TS HN,NV150,P-452,KH-0545,7,17745000,5915000,11830000
2022-07-24,ĐH6822155,TS HN,NV150,P-710,KH-0545,7,17745000,5915000,11830000
2022-07-24,ĐH3923518,CN HCM,NV223,P-041,KH-0321,7,31080000,10360000,20720000
2022-07-24,ĐH3100463,TS HN,NV244,P-664,KH-0222,7,10080000,3360000,6720000
2022-07-24,ĐH3069569,TS HN,NV122,P-437,KH-0517,6,230490000,76830000,153660000
2022-07-24,ĐH5825717,CN DN,NV048,P-195,KH-0583,5,109050000,36350000,72700000
2022-07-24,ĐH5975641,CN DN,NV047,P-525,KH-0749,7,61005000,20335000,40670000
2022-07-24,ĐH9532516,CN HCM,NV151,P-119,KH-0637,7,427140000,142380000,284760000
2022-07-24,ĐH8239981,TS HN,NV190,P-722,KH-0379,2,54390000,18130000,36260000
2022-07-25,ĐH1498934,CN HCM,NV070,P-566,KH-0543,7,51345000,17115000,34230000
2022-07-25,ĐH6031588,CN DN,NV050,P-565,KH-0183,6,1973970000,657990000,1315980000
2022-07-25,ĐH8504336,TS HN,NV040,P-218,KH-0005,7,2302965000,767655000,1535310000
2022-07-25,ĐH6031588,CN DN,NV050,P-218,KH-0183,6,1973970000,657990000,1315980000
2022-07-25,ĐH9632092,CN DN,NV244,P-646,KH-0315,6,900000,300000,600000
2022-07-25,ĐH1022657,CN DN,NV194,P-442,KH-0049,7,13335000,4445000,8890000
2022-07-25,ĐH6951251,CN DN,NV083,P-112,KH-0786,7,1189545000,396515000,793030000
2022-07-25,ĐH7297090,CN DN,NV200,P-484,KH-0427,7,6405000,2135000,4270000
2022-07-25,ĐH8531813,TS HN,NV070,P-511,KH-0739,7,840000,280000,560000
2022-07-25,ĐH6218231,CN HCM,NV100,P-296,KH-0218,7,1680000,560000,1120000
2022-07-25,ĐH5120968,CN HCM,NV059,P-753,KH-0476,6,2700000,900000,1800000
2022-07-25,ĐH8058296,CN DN,NV169,P-587,KH-0533,6,10800000,3600000,7200000
2022-07-25,ĐH1831744,TS HN,NV176,P-750,KH-0300,7,4095000,1365000,2730000
2022-07-25,ĐH1560092,TS HN,NV240,P-437,KH-0359,6,230490000,76830000,153660000
2022-07-25,ĐH4175682,TS HN,NV119,P-174,KH-0540,7,127680000,42560000,85120000
2022-07-25,ĐH1301849,CN HCM,NV083,P-323,KH-0672,6,19170000,6390000,12780000
2022-07-25,ĐH5190089,CN HCM,NV044,P-342,KH-0729,7,321090000,107030000,214060000
2022-07-25,ĐH5186626,TS HN,NV085,P-063,KH-0243,6,69120000,23040000,46080000
2022-07-25,ĐH1364750,TS HN,NV002,P-565,KH-0195,5,4575000,1525000,3050000
2022-07-25,ĐH7224477,CN HCM,NV249,P-078,KH-0229,6,21420000,7140000,14280000
2022-07-25,ĐH3041938,CN HCM,NV085,P-673,KH-0582,10,2400000,800000,1600000
2022-07-25,ĐH8504336,TS HN,NV040,P-565,KH-0005,7,2302965000,767655000,1535310000
2022-07-25,ĐH4238130,TS HN,NV035,P-075,KH-0290,6,4770000,1590000,3180000
2022-07-25,ĐH1782975,TS HN,NV100,P-408,KH-0442,5,80025000,26675000,53350000
2022-07-25,ĐH9955926,CN HCM,NV234,P-554,KH-0376,7,42840000,14280000,28560000
2022-07-25,ĐH6560827,CN HCM,NV111,P-620,KH-0701,6,62280000,20760000,41520000
2022-07-25,ĐH5162688,CN HCM,NV231,P-285,KH-0735,7,18060000,6020000,12040000
2022-07-25,ĐH4693752,TS HN,NV215,P-703,KH-0666,7,7140000,2380000,4760000
2022-07-25,ĐH8732953,CN HCM,NV114,P-221,KH-0182,7,138600000,46200000,92400000
2022-07-25,ĐH5240339,CN HCM,NV165,P-619,KH-0529,7,144480000,48160000,96320000
2022-07-25,ĐH9993196,TS HN,NV241,P-083,KH-0387,5,63600000,21200000,42400000
2022-07-25,ĐH2416581,CN DN,NV158,P-259,KH-0285,7,1365000,455000,910000
2022-07-25,ĐH8908768,CN HCM,NV184,P-094,KH-0775,7,135660000,45220000,90440000
2022-07-26,ĐH5991742,CN HCM,NV119,P-091,KH-0221,9,19575000,6525000,13050000
2022-07-26,ĐH1277832,CN HCM,NV044,P-548,KH-0587,7,120645000,40215000,80430000
2022-07-26,ĐH2906185,TS HN,NV062,P-451,KH-0768,10,219600000,73200000,146400000
2022-07-26,ĐH8764839,TS HN,NV219,P-504,KH-0717,4,22410000,7470000,14940000
2022-07-26,ĐH7467311,CN HCM,NV115,P-007,KH-0786,1,36330000,12110000,24220000
2022-07-26,ĐH7851223,CN DN,NV221,P-008,KH-0758,7,61635000,20545000,41090000
2022-07-26,ĐH7851223,CN DN,NV221,P-007,KH-0758,1,61635000,20545000,41090000
2022-07-26,ĐH8764839,TS HN,NV219,P-007,KH-0717,4,22410000,7470000,14940000
2022-07-26,ĐH1676349,TS HN,NV015,P-384,KH-0498,7,12285000,4095000,8190000
2022-07-26,ĐH4309072,CN DN,NV192,P-562,KH-0756,9,6615000,2205000,4410000
2022-07-26,ĐH8367573,CN DN,NV009,P-556,KH-0010,7,51870000,17290000,34580000
2022-07-26,ĐH2440972,CN DN,NV135,P-591,KH-0193,9,6480000,2160000,4320000
2022-07-26,ĐH2121170,CN HCM,NV183,P-587,KH-0673,5,9000000,3000000,6000000
2022-07-26,ĐH1883565,TS HN,NV034,P-394,KH-0156,7,5250000,1750000,3500000
2022-07-26,ĐH8472809,CN HCM,NV127,P-298,KH-0576,5,62925000,20975000,41950000
2022-07-26,ĐH5498282,TS HN,NV007,P-512,KH-0550,6,540000,180000,360000
2022-07-26,ĐH8497885,CN HCM,NV206,P-327,KH-0088,10,18000000,6000000,12000000
2022-07-26,ĐH6117781,TS HN,NV212,P-112,KH-0629,7,1189545000,396515000,793030000
2022-07-26,ĐH4055410,CN HCM,NV116,P-201,KH-0202,9,42120000,14040000,28080000
2022-07-26,ĐH2897840,CN HCM,NV167,P-776,KH-0246,6,16110000,5370000,10740000
2022-07-26,ĐH9911186,CN DN,NV129,P-580,KH-0590,7,84735000,28245000,56490000
2022-07-26,ĐH1032826,CN HCM,NV234,P-420,KH-0019,10,192150000,64050000,128100000
2022-07-26,ĐH5803181,CN HCM,NV151,P-349,KH-0359,10,247800000,82600000,165200000
2022-07-26,ĐH4635265,TS HN,NV149,P-283,KH-0350,6,712620000,237540000,475080000
2022-07-26,ĐH8686670,CN HCM,NV072,P-206,KH-0351,7,5460000,1820000,3640000
2022-07-26,ĐH4311906,CN HCM,NV024,P-425,KH-0573,5,136500000,45500000,91000000
2022-07-26,ĐH8478431,CN DN,NV057,P-055,KH-0200,6,12060000,4020000,8040000
2022-07-26,ĐH7467311,CN HCM,NV115,P-110,KH-0786,7,36330000,12110000,24220000
2022-07-26,ĐH7236281,TS HN,NV130,P-612,KH-0684,7,51870000,17290000,34580000
2022-07-26,ĐH5555150,CN DN,NV023,P-396,KH-0519,6,7290000,2430000,4860000
2022-07-26,ĐH8758327,CN DN,NV026,P-465,KH-0335,7,328650000,109550000,219100000
2022-07-26,ĐH1856832,CN HCM,NV029,P-595,KH-0698,7,6720000,2240000,4480000
2022-07-27,ĐH5630554,TS HN,NV018,P-177,KH-0323,7,565425000,188475000,376950000
2022-07-27,ĐH5288771,CN DN,NV184,P-007,KH-0050,5,40500000,13500000,27000000
2022-07-27,ĐH2179064,CN HCM,NV188,P-725,KH-0411,2,35400000,11800000,23600000
2022-07-27,ĐH4070466,CN HCM,NV112,P-363,KH-0424,9,419985000,139995000,279990000
2022-07-27,ĐH5630554,TS HN,NV018,P-565,KH-0323,7,565425000,188475000,376950000
2022-07-27,ĐH7376717,CN DN,NV195,P-635,KH-0220,6,5580000,1860000,3720000
2022-07-27,ĐH5951016,CN HCM,NV093,P-018,KH-0417,10,29400000,9800000,19600000
2022-07-27,ĐH8900991,CN HCM,NV201,P-469,KH-0456,5,9525000,3175000,6350000
2022-07-27,ĐH1160298,CN DN,NV149,P-301,KH-0397,7,126630000,42210000,84420000
2022-07-27,ĐH1163319,TS HN,NV037,P-209,KH-0444,5,31725000,10575000,21150000
2022-07-27,ĐH2457429,CN DN,NV088,P-153,KH-0103,7,1682835000,560945000,1121890000
2022-07-27,ĐH2371192,CN HCM,NV028,P-780,KH-0357,7,423990000,141330000,282660000
2022-07-27,ĐH5141176,CN DN,NV247,P-582,KH-0661,8,296640000,98880000,197760000
2022-07-27,ĐH8472241,TS HN,NV225,P-026,KH-0525,9,20250000,6750000,13500000
2022-07-27,ĐH3737194,CN HCM,NV037,P-736,KH-0550,7,2415000,805000,1610000
2022-07-27,ĐH8731333,CN DN,NV001,P-169,KH-0025,6,53280000,17760000,35520000
2022-07-27,ĐH4037375,CN HCM,NV175,P-167,KH-0607,7,110670000,36890000,73780000
2022-07-27,ĐH9312880,CN HCM,NV071,P-044,KH-0436,6,25020000,8340000,16680000
2022-07-27,ĐH9601045,CN DN,NV137,P-490,KH-0010,7,1289925000,429975000,859950000
2022-07-27,ĐH4297362,TS HN,NV204,P-703,KH-0423,7,7140000,2380000,4760000
2022-07-27,ĐH9177031,CN DN,NV046,P-787,KH-0387,6,34740000,11580000,23160000
2022-07-27,ĐH2785925,CN DN,NV190,P-714,KH-0019,9,236520000,78840000,157680000
2022-07-27,ĐH5669996,CN DN,NV197,P-244,KH-0775,10,453900000,151300000,302600000
2022-07-27,ĐH8712070,CN DN,NV053,P-456,KH-0694,9,73440000,24480000,48960000
2022-07-27,ĐH8076473,TS HN,NV045,P-325,KH-0117,5,8625000,2875000,5750000
2022-07-27,ĐH5471223,CN HCM,NV129,P-435,KH-0395,1,102060000,34020000,68040000
2022-07-27,ĐH1628536,CN DN,NV230,P-532,KH-0380,7,4095000,1365000,2730000
2022-07-27,ĐH1110994,CN DN,NV201,P-191,KH-0775,9,31995000,10665000,21330000
2022-07-27,ĐH6504290,CN DN,NV140,P-494,KH-0277,9,9450000,3150000,6300000
2022-07-27,ĐH3728840,TS HN,NV096,P-750,KH-0008,5,2925000,975000,1950000
2022-07-27,ĐH8245560,CN DN,NV139,P-206,KH-0499,6,4680000,1560000,3120000
2022-07-27,ĐH8251339,TS HN,NV082,P-700,KH-0019,9,32400000,10800000,21600000
2022-07-27,ĐH3012669,TS HN,NV214,P-078,KH-0293,7,24990000,8330000,16660000
2022-07-27,ĐH5137657,TS HN,NV005,P-470,KH-0307,10,341250000,113750000,227500000
2022-07-28,ĐH4164329,CN HCM,NV204,P-646,KH-0692,7,1050000,350000,700000
2022-07-28,ĐH1971624,CN HCM,NV145,P-309,KH-0244,8,171480000,57160000,114320000
2022-07-28,ĐH4145072,CN HCM,NV046,P-065,KH-0436,7,56910000,18970000,37940000
2022-07-28,ĐH2062067,CN HCM,NV043,P-230,KH-0150,7,19530000,6510000,13020000
2022-07-28,ĐH2533295,CN DN,NV219,P-612,KH-0442,5,37050000,12350000,24700000
2022-07-28,ĐH5603238,CN HCM,NV135,P-243,KH-0165,5,27525000,9175000,18350000
2022-07-28,ĐH1618550,CN DN,NV061,P-243,KH-0657,6,33030000,11010000,22020000
2022-07-28,ĐH6106283,CN DN,NV210,P-789,KH-0623,7,18270000,6090000,12180000
2022-07-28,ĐH7634392,TS HN,NV236,P-208,KH-0185,7,28665000,9555000,19110000
2022-07-28,ĐH3826067,CN DN,NV092,P-142,KH-0322,7,94815000,31605000,63210000
2022-07-28,ĐH7204440,CN HCM,NV146,P-262,KH-0448,8,185640000,61880000,123760000
2022-07-28,ĐH4241756,CN DN,NV002,P-084,KH-0366,6,209430000,69810000,139620000
2022-07-28,ĐH5785833,CN DN,NV229,P-623,KH-0440,5,124350000,41450000,82900000
2022-07-28,ĐH1785660,CN DN,NV051,P-015,KH-0399,9,32805000,10935000,21870000
2022-07-28,ĐH8255949,TS HN,NV077,P-165,KH-0176,7,85260000,28420000,56840000
2022-07-28,ĐH3228783,CN DN,NV213,P-191,KH-0145,7,24885000,8295000,16590000
2022-07-28,ĐH1971358,TS HN,NV005,P-344,KH-0300,7,277725000,92575000,185150000
2022-07-28,ĐH7673936,TS HN,NV112,P-363,KH-0197,7,326655000,108885000,217770000
2022-07-28,ĐH4778483,CN DN,NV142,P-343,KH-0111,5,23775000,7925000,15850000
2022-07-28,ĐH7709954,TS HN,NV084,P-315,KH-0739,9,184275000,61425000,122850000
2022-07-28,ĐH5310028,CN DN,NV214,P-470,KH-0605,7,238875000,79625000,159250000
2022-07-28,ĐH3267293,CN DN,NV216,P-710,KH-0281,6,15210000,5070000,10140000
2022-07-28,ĐH3733744,CN DN,NV225,P-310,KH-0674,7,38640000,12880000,25760000
2022-07-28,ĐH4171028,CN HCM,NV033,P-273,KH-0184,10,55800000,18600000,37200000
2022-07-28,ĐH9662820,TS HN,NV232,P-376,KH-0364,5,100800000,33600000,67200000
2022-07-28,ĐH5950866,CN DN,NV180,P-778,KH-0248,7,6300000,2100000,4200000
2022-07-28,ĐH9282720,CN DN,NV095,P-674,KH-0151,5,900000,300000,600000
2022-07-28,ĐH3267293,CN DN,NV216,P-452,KH-0281,6,15210000,5070000,10140000
2022-07-28,ĐH9673582,TS HN,NV178,P-045,KH-0095,7,38325000,12775000,25550000
2022-07-28,ĐH3823796,TS HN,NV023,P-005,KH-0243,6,33300000,11100000,22200000
2022-07-29,ĐH4086943,TS HN,NV130,P-798,KH-0558,6,28080000,9360000,18720000
2022-07-29,ĐH9991606,TS HN,NV075,P-317,KH-0689,9,14985000,4995000,9990000
2022-07-29,ĐH5532441,CN HCM,NV223,P-155,KH-0471,5,997125000,332375000,664750000
2022-07-29,ĐH7804361,TS HN,NV075,P-030,KH-0523,5,69225000,23075000,46150000
2022-07-29,ĐH6914282,TS HN,NV229,P-593,KH-0785,10,58800000,19600000,39200000
2022-07-29,ĐH6086936,TS HN,NV111,P-449,KH-0564,6,18630000,6210000,12420000
2022-07-29,ĐH3232439,CN HCM,NV172,P-272,KH-0653,7,302400000,100800000,201600000
